ticker,history_dev
TRA,  Ngày 28/11/1972: Tiền thân là Tổ sản xuất thuốc thuộc Ty Y tế Đường sắt được thành lập; Ngày 01/06/1993: Xí nghiệp Dược phẩm Đường sắt ra đời; Năm 1994: Đổi tên thành Công ty Dược và Thiết bị vật tư y tế Bộ Giao thông vận tải (tên giao dịch là Traphaco); Ngày 24/12/1999: Chính thức hoạt động theo mô hình công ty cổ phần; Ngày 05/07/2001: Đổi tên thành Công ty Cổ phần Traphaco; Ngày 26/11/2008: Cổ phiếu được niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 01/08/2017: Tăng vốn điều lệ lên 414.536.730.000 đồng;   
TPC,"  Năm 1984: Công ty Nhựa Tân Đại Hưng được thành lập. Năm 2001: Công ty TNHH Tân Đại Hưng chuyển thành Công ty cổ phần Nhựa Tân Đại Hưng, vốn điều lệ 20 tỷ đồng. Năm 2003: Công ty tăng vốn điều lệ lên 28,6 tỷ đồng. Ngày 28/11/2007: Cổ phiếu của công ty được giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Năm 2010: Tăng vốn điều lệ lên 244.3 tỷ đồng;   "
TPB,  Ngày 05/05/2008: Ngân hàng Thương mại Cổ phần Tiên Phong được thành lập với vốn điều lệ ban đầu 1.000 tỷ đồng; Tháng 06/2008: Ký kết thỏa thuận hợp tác chiến lược với Ngân hàng Đầu tư và Phát triển Việt Nam (BIDV) và khung hợp tác chung với Ngân hàng Citi Group; Tháng 08/2008: Khai trương Chi nhánh Hà Nội và ra mắt hệ thống ngân hàng tự động MiniBank 24/7; Tháng 09/2008: Ngân hàng đã trở thành công ty đại chúng; Tháng 10/2008: Khai trương Chi nhánh Thành phố Hồ Chí Minh và ra mắt dịch vụ Internet Banking dành cho khách hàng doanh nghiệp và cá nhân;  Năm 2009: Tăng vốn điều lệ lên 1.250 tỷ đồng; Ngày 31/03/2010: Tăng vốn điều lệ lên 1.750 tỷ đồng; Ngày 24/08/2010: Tăng vốn điều lệ lên 2.000 tỷ đồng; Ngày 22/12/2010: Tăng vốn điều lệ lên 3.000 tỷ đồng; Ngày 31/12/2012: Tăng vốn điều lệ lên 5.550 tỷ đồng; Ngày 25/08/2016: Tăng vốn điều lệ lên 5.842.105.000.000 đồng; Ngày 22/03/2018: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 19/04/2018: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 04/04/2019: Tăng vốn điều lệ lên 8.565.892.060.000 đồng; Ngày 24/03/2021:  Tăng vốn điều lệ lên 10.716.717.220.000 đồng; Ngày 18/11/2021: Tăng vốn điều lên 11.716.717.220.000 đồng; Ngày 01/03/2022: Tăng vốn điều lệ lên 15.817.554.950.000 đồng; Ngày 15/08/2023: Tăng vốn điều lệ lên 22.016.350.090.000 đồng;   
TNT,"  Ngày 24/02/2006: Công ty TNHH Dương Quân được thành lập với vốn điều lệ ban đầu là 3,6 tỷ đồng với lĩnh vực hoạt động chính là bất động sản, khoáng sản và các dịch vụ tư vấn liên quan; Ngày 25/08/2006: Công ty TNHH Dương Quân được đổi tên thành Công ty TNHH Tư vấn và Đầu tư Tài Nguyên; Ngày 02/07/2007: Công ty TNHH Tư vấn và Đầu tư Tài Nguyên được chuyển đổi thành Công ty Cổ phần Tư vấn và Đầu tư Tài Nguyên. Vốn điều lệ được tăng lên 15 tỷ đồng; Ngày 18/06/2008: Đổi tên thành Công ty Cổ phần Tài Nguyên và tăng vốn điều lệ lên 30 tỷ đồng thông qua đợt phát hành cho cổ đông hiện hữu; Ngày 04/12/2008: Tăng vốn điều lệ lên 40 tỷ đồng thông qua đợt phát hành riêng lẻ; Năm 2009: Mỏ chì - kẽm tại Mùn Chung, Xá Nhè, Điện Biên hoàn thành giai đoạn đầu tư và bắt đầu đi vào sản xuất; Ngày 10/06/2009: Tăng vốn điều lệ lên 85 tỷ đồng thông qua đợt phát hành riêng lẻ; Ngày 02/12/2009: Công ty được UBCK Nhà nước công nhận là công ty đại chúng; Ngày 21/05/2010: Cổ phiếu của công ty được niêm yết và giao dịch trên sàn HOSE. Ngày 01/02/2016: Tăng vốn điều lệ lên 255 tỷ đồng; Ngày 06/05/2021: Đổi tên thành Công ty Cổ phần Tập đoàn TNT; Ngày 18/01/2022: Tăng vốn điều lệ lên 510 tỷ đồng;   "
TNI,"  Ngày 15/07/2004: Công ty Cổ phần Tập đoàn Thành Nam, tiền thân là Công ty TNHH Xuất Nhập khẩu Thành Nam, được thành lập với vốn điều lệ ban đầu là 500 triệu đồng; 2009: Chuyển đổi thành Công ty Cổ phần Xuất nhập khẩu Thành Nam với vốn điều lệ tăng lên 50 tỷ đồng; 2010: Đổi tên thành Công ty Cổ phần Tập đoàn Thành Nam với vốn điều lệ tăng lên 70 tỷ đồng; Ngày 13/10/2012: Tăng vốn điều lệ lên 100 tỷ đồng; 2013: Công ty Cổ phần Liên doanh Đầu tư quốc tế FLC mua lại 30% vốn điều lệ của Công ty Cổ phần Tập đoàn Thành Nam; Ngày 10/10/2014: Tăng vốn điều lệ lên 200 tỷ đồng; Ngày 20/02/2017: Tăng vốn điều lệ lên 210 tỷ đồng; Ngày 22/05/2017: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 29/05/2017: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 27/03/2018: Tăng vốn điều lệ lên 525 tỷ đồng;   "
TNH,"  Ngày 19/03/2012: Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên được thành lập với vốn điều lệ 27.748.000.000 đồng theo Giấy chứng nhận đăng ký doanh nghiệp số 4601039023 của Sở Kế hoạch và Đầu tư tỉnh Thái Nguyên; Năm 2014: Bệnh viện Quốc tế Thái Nguyên chính thức đi vào hoạt động; Ngày 19/12/ 2016: Tăng vốn điều lệ lên 69.464.000.000 đồng; Năm 2017: Tăng vốn điều lệ lên 270.000.000.000 đồng và đầu tư xây dựng Bệnh viên đa khoa Yên Bình tại Khu công nghiệp Yên Bình, thị xã Phổ Yên, tỉnh Thái Nguyên; Năm 2018: Tăng vốn điều lệ lên 350.000.000.000 đồng; Năm 2019: Tăng vốn điều lệ lên 415.000.000.000 đồng và Bệnh viên đa khoa Yên Bình đi vào hoạt động; Ngày 14/11/2019: Trở thành công ty đại chúng theo Công văn số 6885/UBCK-GSĐC của Ủy ban Chứng khoán Nhà nước (SSC); Ngày 23/12/2020: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 06/01/2021: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 10/06/2022: Tăng vốn điều lệ lên 518.749.980.000 đồng; Ngày 25/05/2023: Tăng vốn điều lệ lên 674.371.110.000 đồng; Ngày 06/07/2023: Tăng vốn điều lệ lên 958.746.100.000 đồng; Ngày 28/01/2024: Tăng vốn điều lệ lên 1.102.445.800.000 đồng; Ngày 08/07/2024: Đổi tên thành Công ty Cổ phần Tập đoàn Bệnh viện TNH và giảm vốn điều lệ xuống 1.101.745.800.000 do mua lại cổ phiếu của người lao động; Ngày 31/10/2024: Tăng vốn điều lệ lên 1.253.765.800.000 đồng; Ngày 30/12/2024: Tăng vốn điều lệ lên 1.441.812.700.000 đồng do phát hành trả cổ tức năm 2023;   "
TNC,  Ngày 05/11/1991: Công ty Cao su Thống Nhất được thành lập theo quyết định số 97/QĐ-UBT và sau đó được tái thành lập lại là Doanh nghiệp Nhà nước theo Quyết định số 20/QĐ-UBT ngày 05/12/1992 của UBND Tỉnh Bà Rịa – Vũng Tàu. Công ty chịu sự quản lý Nhà nước trực tiếp của Sở Nông nghiệp và Phát triển nông thôn Tỉnh Bà Rịa – Vũng Tàu; Ngày 26/06/2006: Công ty chuyển đổi thành Công ty Cổ phần Cao su Thống Nhất với số vốn điều lệ ban đầu là 192.5 tỷ đồng; Ngày 22/8/2007: Cổ phiếu của công ty niêm yết và giao dịch tại HOSE;   
TN1,"  Ngày 23/10/2014: Công ty Cổ phần Thương mại Dịch vụ TNS Holdings (TN1) được thành lập với vốn điều lệ ban đầu là 38 tỷ đồng; Ngày 31/07/2018: Tăng vốn điều lệ lên 133 tỷ đồng; Ngày 30/05/2019: Chính thức giao dịch trên Sở giao dịch chứng khoán thành phố Hồ Chí Minh (HOSE); Ngày 07/09/2020: Tăng vốn điều lệ lên 175,55 tỷ đồng; Ngày 17/11/2020: Tăng vốn điều lệ lên 214,05 tỷ đồng; Ngày 25/08/2021: Tăng vốn điều lệ lên 338,36 tỷ đồng; Ngày 17/01/2022: Tăng vốn điều lệ lên 345,5 tỷ đồng; Ngày 29/07/2022: Tăng vốn điều lệ lên 431,88 tỷ đồng; Ngày 30/08/2023: Tăng vốn điều lệ lên 496,66 tỷ đồng; Ngày 12/03/2024: Đổi tên thành Công ty Cổ phần Rox Key Holdings; Ngày 18/09/2024: Tăng vốn điều lệ lên 546,32 tỷ đồng;   "
TMT,"  Ngày 27/10/1976: Công ty Vật tư thiết bị Cơ khí Giao thông Vận tải thuộc Cục Cơ khí - Bộ Giao thông Vận tải được thành lập; Năm 2000: Công ty bắt đầu sản xuất, lắp ráp xe gắn máy hai bánh, lắp ráp động cơ xe gắn máy; Năm 2001: Công ty đã xây dựng được thương hiệu độc quyền cho xe gắn máy hai bánh Jiulong; Năm 2002: Khánh thành Xưởng sản xuất bộ côn xe gắn máy tại 199B Minh Khai - Hà Nội; Năm 2004: Công ty thực hiện chuyển đổi mô hình sản xuất từ kinh doanh thương mại và dịch vụ sang mô hình sản xuất công nghiệp là chính. Ngày 29/05/2004: khánh thành Nhà máy sản xuất, lắp ráp ô tô nông dụng Cửu Long (nay là nhà máy ô tô Cửu Long); Ngày 14/4/2006: Công ty chính thức hoạt động dưới mô hình công ty cổ phần với vốn điều lệ 25 tỷ đồng; 22/01/2010: Niêm yết trên Sở Giao dịch Chứng khoán Hồ Chí Minh (HOSE); Năm 2014: Tăng vốn điều lệ lên 308 tỷ đồng. Năm 2016: Tăng vốn điều lệ lên 372 tỷ đồng.   "
TMS,"  Năm 1983: Tiền thân là Công ty Cổ phần Kho vận Ngoại thương được thành lập; Ngày 26/10/1999: Chuyển sang hoạt động theo mô hình công ty cổ phần với vốn điều lệ ban đầu là 22 tỷ đồng; Ngày 04/08/2000: Cổ phiếu của công ty chính thức giao dịch trên sàn HOSE; Tháng 09/2005: Công ty tăng vốn điều lệ lên 42,9 tỷ đồng; Tháng 01/2010: Tăng vốn điều lệ lên 165,15 tỷ đồng; Tháng 07/2011: Tăng vốn điều lệ lên 182,75 tỷ đồng; Tháng 07/2012: Tăng vốn điều lệ lên 230,74 tỷ đồng; Tháng 10/2012: Khởi công xây dựng Trung tâm Phân phối Transimex trên diện tích 18.000m2 với tổng vốn đầu tư 80 tỷ đồng tại khu công nghiệp Sóng Thần 2, Bình Dương; Ngày 10/04/2013: Đổi tên thành Công ty Cổ phần Transimex-Saigon; Ngày 11/04/2013: Khánh thành dự án Trung tâm Phân phối Transimex tại khu công nghiệp Sóng Thần 2, Bình Dương; Tháng 02/2015: Tăng vốn điều lệ lên 237,66 tỷ đồng; Tháng 04/2015: Khởi công xây dựng Trung tâm Logistics Transimex Đà Nẵng trên diên tích 16.000m2 với tổng vốn đầu tư 34 tỷ đồng; Tháng 08/2015: Khởi công xây dựng Trung tâm Logistics Transimex tại Khu công nghệ cao Thành phố Hồ Chí Minh trên diện tích 100,000m2 với tổng vốn đầu tư 510 tỷ đồng; Tháng 09/2015: Khánh thành dự án Trung tâm Logistics Transimex Đà Nẵng; Ngày 12/05/2016: Đổi tên thành Công ty Cổ phần Transimex; Ngày 21/04/2016: Khánh thành Trung tâm Logistics Transimex tại khu công nghệ cao Thành phố Hồ Chí Minh; Ngày 21/01/2019: Tăng vốn điều lệ lên 475,20 tỷ đồng; Ngày 13/07/2021: Tăng vốn điều lệ lên 814,42 tỷ đồng; Ngày 24/05/2022: Tăng vốn điều lệ lên 1.058,71 tỷ đồng; Ngày 17/02/2023: Tăng vốn điều lệ lên 1.217,49 tỷ đồng; Ngày 08/11/2023: Tăng vốn điều lệ lên 1.582,70 tỷ đồng; Ngày 05/11/2024: Tăng vốn điều lệ lên 1.693,47 tỷ đồng;   "
TMP,"  Ngày 11/06/1994: Tiền thân là Nhà máy thủy điện Thác Mơ thành lập, là đơn vị trực thuộc công ty Điện lực 2. Ngày 30/03/2005: Chuyển nhà máy thủy điện Thác Mơ thành công ty thành viên hoạch toán độc lập thuộc Tổng công ty Điện lực Việt Nam. Ngày 20/09/2006: Chuyển thành công ty cổ phần thủy điện Thác Mơ. Ngày 18/06/2009: Công ty niêm yết cổ phiếu tại HOSE với số vốn điều lệ là 700 tỷ đồng.     "
TLH,"  Năm 1988: Công ty Cổ phần Tập đoàn Thép Tiến Lên được thành lập, tiền thân là một cửa hàng vật liệu xây dựng. Năm 1993: Chuyển đổi thành doanh nghiệp tư nhân. Ngày 22/11/2001: Chuyển đổi thành Công ty TNHH Tiến Lên với vốn điều lệ ban đầu là 15 tỷ đồng. Năm 2008: Công ty tăng vốn điều lệ lên 226 tỷ đồng. Ngày 18/08/2009: Công ty được cổ phần hóa. Ngày 05/10/2009: Tăng vốn điều lệ lên 540 tỷ đồng. Công ty chính thức trở thành công ty đại chúng. Ngày 16/03/2010: Cổ phiếu của công ty được chính thức giao dịch trên sàn HOSE. Ngày 07/12/2017: Tăng vốn điều lệ lên 929.623.130.000 đồng. Ngày 18/08/2018: Tăng vốn điều lệ lên 1.021.106.210.000 đồng. Ngày 13/07/2023: Tăng vốn điều lệ lên 1.123.200.170.000 đồng;   "
TLG,"  Năm 1981: Cơ sở bút bi Thiên Long, tiền thân của công ty được thành lập; Năm 1996: Công ty được chuyển đổi thành Công ty TNHH Sản xuất - Thương mại Thiên Long; Cuối năm 1999: Công ty đầu tư xây dựng nhà xưởng mới tại Khu Công nghiệp Tân Tạo (quận Bình Tân) và chính thức đi vào hoạt động tháng 05/2000; Tháng 03/2005: Công ty chính thức chuyển đổi sang mô hình công ty cổ phần với vốn điều lệ 100 tỷ đồng; Năm 2006: Công ty phát hành 2.000.000 cổ phiếu cho cổ đông hiện hữu tăng vốn điều lệ lên 120 tỷ đồng; Năm 2008: Công ty phát hành 3.500.000 cổ phiếu ra công chúng tăng vốn điều lệ lên 155 tỷ đồng, đổi tên thành Công ty Cổ phần Tập đoàn Thiên Long; Ngày 26/03/2010: Cổ phiếu của công ty chính thức giao dịch trên sàn HOSE; Ngày 07/07/2011: Tăng vốn điều lệ lên 176,5 tỷ đồng; Tháng 11/2013: Tăng vốn điều lệ lên 232,98 tỷ đồng; Tháng 11/2014: Tăng vốn điều lệ lên 267,9 tỷ đồng; Ngày 26/09/2018: Tăng vốn điều lệ lên 657.228.530.000 đồng; Ngày 25/03/2019: Tăng vốn điều lệ lên 707.228.530.000 đồng; Ngày 11/10/2019: Tăng vốn điều lệ lên 777.944.530.000 đồng; Ngày 21/11/2023: Tăng vốn điều lệ lên 785.944.530.000 đồng; Ngày 09/12/2024: Tăng vốn điều lệ lên 864.535.750.000 đồng;   "
TLD,  Tháng 09/2000: Tiền thân là Công ty TNHH Thương mại và Xây dựng Ngọc Hà được thành lập với vốn điều lệ 11 tỷ đồng; Ngày 30/07/2009: Tăng vốn điều lệ lên 40 tỷ đồng; Ngày 30/08/2010: Tăng vốn điều lệ lên 95 tỷ đồng; Ngày 09/12/2010: Đổi tên thành Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long; Ngày 23/02/2017: Tăng vốn điều lệ lên 180 tỷ đồng; Ngày 12/09/2017: Trở thành công ty đại chúng theo Công văn 6088/UBCK-GSĐC của Ủy ban Chứng khoán Nhà nước; Ngày 29/11/2017: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 07/12/2017: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 07/11/2018: Tăng vốn điều lệ lên 187.197.880.000 đồng; Ngày 09/10/2020: Tăng vốn điều lệ lên 380.540.770.000 đồng; Ngày 04/03/2021: Tăng vốn điều lệ lên 399.563.720.000 đồng; Ngày 19/01/2022: Tăng vốn điều lệ lên 427.525.860.000 đồng; Ngày 10/05/2024: Tăng vốn điều lệ lên 774.413.560.000 đồng;   
TIX,  Ngày 11/11/1981: Tiền thân của Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình là Công ty Dịch vụ và Cung ứng Xuất khẩu được thành lập. Năm 1992: Công ty đổi tên thành Công ty Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình. Ngày 01/08/2006: Công ty chuyển đổi thành công ty cổ phần với vốn điều lệ ban đầu là 45 tỷ đồng. Ngày 02/02/2008: Công ty tăng vốn điều lệ lên 120 tỷ đồng. Ngày 25/11/2009: Cổ phiếu của Công ty được niêm yết và giao dịch trên sàn HOSE. Ngày 12/07/2011: Công ty tăng vốn điều lệ lên 240 tỷ đồng. Ngày 13/09/2017: Tăng vốn điều lệ lên 264 tỷ đồng. Ngày 25/01/2019: Tăng vốn điều lệ lên 300 tỷ đồng.   
TIP,"  2002: Công ty được thành lập với tiền thân là Xí nghiệp Dịch vụ và Phát triển Khu Công nghiệp Tam Phước; 2007: Hoạt động dưới hình thức công ty cổ phần. 2008: Cổ phần hóa với vốn điều lệ ban đầu là 173.3 tỷ đồng và đổi tên công ty thành Công ty Cổ phần đầu tư phát triển Khu công nghiệp Tam Phước; 2016: Chính thức được niêm yết tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) Ngày 11/08/2022: Tăng vốn điều lệ lên 650,07 tỷ đồng;   "
THG,"  Ngày 05/12/2003: Tiền thân là Công ty Xây dựng Thủy lợi Tiền Giang được thành lập với vốn điều lệ là 19,6 tỷ đồng; Từ năm 2004-2007: Công ty chuyển sang hoạt động dưới hình thức công ty cổ phần có vốn nhà nước từ 51%(năm 2004), 30% (năm 2005) và đến cuối năm 2006 không còn vốn nhà nước; Năm 2007: Công ty tăng vốn điều lệ lên 63 tỷ đồng sau khi chào bán cổ phiếu ưu đãi cho cán bộ công nhân viên; Năm 2008: Công ty tăng vốn điều lệ lên 70 tỷ đồng sau khi phát hành cổ phiếu thưởng cho cổ đông hiện hữu; Năm 2009: Công ty tăng vốn điều lệ lên 80 tỷ đồng sau khi phát hành cổ phiếu riêng lẻ; Ngày 28/07/2011: Công ty chính thức niêm yết cổ phiếu trên Sở Giao dịch Chứng khoán Hồ Chí Minh (HOSE); Ngày 12/07/2018: Tăng vốn điều lệ lên 131.997.690.000 đồng; Ngày 23/07/2020: Tăng vốn điều lệ lên 145.195.600.000 đồng; Ngày 09/08/2021: Tăng vốn điều lệ lên 159.713.060.000 đồng; Ngày 29/06/2022: Tăng vốn điều lệ lên 199.638.930.000 đồng; Ngày 18/07/2023: Tăng vốn điều lệ lên 229.578.960.000 đồng; Ngày 19/07/2024: Tăng vốn điều lệ lên 259.418.870.000 đồng;   "
TEG,"  Ngày 28/02/2011: Công ty Cổ phần Bất động sản và Xây dựng Trường Thành được thành lập với nguồn vốn điều lệ là 6 tỷ đồng, có tên gọi ban đầu là CTCP Đầu tư và Dịch vụ Thịnh Vượng. Ngày 28/05/2012: Công ty tăng vốn điều lệ lên 20 tỷ đồng bằng việc phát hành cổ phiếu riêng lẻ cho các cổ đông hiện hữu. Ngày 14/07/2014: Công ty đổi tên thành CTCP Bất động sản và Xây dựng Trường Thành với phương châm ""Trust - Efficiency - Creativity"". Ngày 31/08/2014: Công ty tiếp tục tăng vốn điều lệ lên 150 tỷ đồng dưới hình thức phát hành cổ phiếu riêng lẻ cho các cổ đông hiện hữu. Ngày 14/10/2015: Công ty trở thành Công ty đại chúng nhờ sự chấp thuận bởi Ủy ban Chứng khoán Nhà nước. Ngày 26/10/2015: Công ty được cấp giấy chứng nhận đăng ký chứng khoán với số lượng đăng ký là 15 triệu cổ phiếu bởi Trung tâm Lưu ký Chứng khoán Việt Nam. Ngày 11/12/2015: Cổ phiếu của Công ty được chấp thuận niêm yết trên sàn HNX với mã chứng khoán là TEG. Ngày 22/12/2015: Ngày giao dịch đầu tiên của TEG trên HNX với giá đóng cửa là 11.700 đồng/ cổ phiếu. Ngày 28/8/2017: Tăng vốn điều lệ lên 179.999.980.000 đồng. Ngày 28/12/2017: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 09/03/2018: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 24/09/2018: Tăng vốn điều lệ lên 194.398.560.000 đồng; Ngày 24/05/2019: Tăng vốn điều lệ lên 294.398.560.000 đồng; Ngày 09/08/2019: Tăng vốn điều lệ lên 323.836.420.000 đồng; Ngày 22/09/2020: Đổi tên thành Công ty Cổ phần Năng Lượng và Bất động sản Trường Thành; Ngày 18/10/2021: Tăng vốn điều lệ lên 655.917.720.000 đồng; Ngày 11/07/2023: Tăng vốn điều lệ lên 728.065.620.000 đồng; Ngày 07/02/2024: Tăng vốn điều lệ lên 1.208,06 tỷ đồng;   "
TDW,"  Tháng 01/1991: Tiền thân của Công ty Cổ phần Cấp nước Thủ Đức là Chi nhánh Cấp nước Thủ Đức - Biên Hòa, được thành lập; Tháng 01/2005: Đổi tên thành Chi nhánh Cấp nước Thủ Đức; Tháng 12/2005: Ủy ban nhân dân thành phố Hồ Chí Minh kí quyết định chuyển chi nhánh Cấp nước Thủ Đức thành Công ty Cổ phần Cấp nước Thủ Đức; Tháng 02/2007: Công ty Cổ phần Cấp nước Thủ Đức chính thức đi vào hoạt động; Ngày 11/11/2010: Cổ phiếu của công ty được giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE);     "
TDP,"  Ngày 22/01/2007: Công ty Cổ phần Thuận Đức được thành lập với vốn điều lệ ban đầu là 7,5 tỷ đồng; Ngày 02/07/2012: Tăng vốn điều lệ lên 40 tỷ đồng; Ngày 08/12/2014: Tăng vốn điều lệ lên 100 tỷ đồng; Ngày 29/08/2016: Tăng vốn điều lệ lên 140 tỷ đồng; Ngày 30/06/2017: Tăng vốn điều lệ lên 250 tỷ đồng; Ngày 11/07/2018: Trở thành công ty đại chúng theo Công văn số 4285/UBCK-GSĐC của Ủy ban Chứng khoán Nhà nước (SSC); Ngày 12/11/2018: Giao dịch trên thị trường UPCOM; Ngày 16/10/2019: Tăng vốn điều lệ lên 479,99 tỷ đồng; Ngày 24/07/2020: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 12/10/2020: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 28/12/2020: Tăng vốn điều lệ lên 537,59 tỷ đồng; Ngày 11/01/2023: Tăng vốn điều lệ lên 674,35 tỷ đồng; Ngày 17/07/2023: Tăng vốn điều lệ lên 755,28 tỷ đồng; Ngày 21/05/2024: Tăng vốn điều lệ lên 802,02 tỷ đồng; Ngày 26/09/2024: Tăng vốn điều lệ lên 822,22 tỷ đồng;   "
TDM,"  Ngày 07/11/2013: Công ty được thành lập với vốn điều lệ ban đầu là 200 tỷ đồng; Tháng 10/2014: Đưa vào họat động Nhà máy Nước Nam Thủ Dầu Một công suất 45.000m3/ngày đêm;  Tháng 02/2015: Khởi công giai đoạn 2 Nhà máy Nước Nam Thủ Dầu Một, nâng tổng công suất lên 100.000m3/ ngày đêm;   Tháng 04/2015: Tăng vốn điều lệ lên 240 tỷ đồng; Tháng 09/2015: Tăng vốn điều lệ lên 300 tỷ đồng; Ngày 01/04/2016: Giao dịch trên thị trường UPCOM; Ngày 21/09/2017: Tăng vốn điều lệ lên 650.404.963.750 đồng; Ngày 05/02/2018: Tăng vốn điều lệ lên 812.000.003.750 đồng; Ngày 05/10/2018: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 16/10/2018: Hủy đăng ký giao dịch trên thị trường UPCOM; Ngày 24/10/2018: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 13/09/2019: Tăng vốn điều lệ lên 957.000.003.750 đồng; Ngày 01/10/2020: Tăng vốn điều lệ lên 1.000.000.000.000 đồng; Ngày 03/04/2024: Tăng vốn điều lệ lên 1.100.000.000.000 đồng;   "
TDH,"  Ngày 02/02/1990: Tiền thân là Công ty Quản lý và Phát triển Nhà Huyện Thủ Đức được thành lập theo Quyết định số 57/QĐ-UB của UBND Thành phố Hồ Chí Minh; Ngày 05/10/1996: UBNDThành Phố Hồ Chí Minh ký quyết định số 4569/QĐ-UBKT đổi tên thành Công ty Phát triển Nhà và Dịch vụ Khu công nghiệp Thủ Đức; Ngày 24/11/2000: Chuyển đổi thành Công ty Cổ phần Phát triển Nhà Thủ Đức với vốn điều lệ 15.000.000.000 đồng; Thàng 07/2006: Tăng vốn điều lệ lên 170 tỷ đồng; Tháng 12/2006: Niêm yết và giao dịch cổ phiếu tại HOSE; Tháng 12/2008: Tăng vốn điều lệ lên 252,5 tỷ đồng; Tháng 12/2013: Tăng vốn điều lệ lên 381,5 tỷ đồng; Ngày 12/07/2017: Tăng vốn điều lệ lên 816.349.270.000 đồng; Ngày 30/08/2019: Tăng vốn điều lệ lên 938.783.840.000 đồng; Ngày 02/11/2020: Tăng vốn điều lệ lên 1,126,527,670,000 đồng;   "
TDG,"  Ngày 13/07/2005: Công ty Cổ phần Dầu khí Thái Dương được thành lập với vốn điều lệ ban đầu là 2 tỷ đồng theo Giấy chứng nhận đăng ký kinh doanh số 2003000152 cấp lần đầu bởi Sở Kế hoạch và  Đầu tư tỉnh Bắc Giang; Ngày 17/05/2007: Tăng vốn điều lệ lên 4 tỷ đồng; Ngày 09/11/2007: Tăng vốn điều lệ lên 8 tỷ đồng; Ngày 21/01/2008: Tăng vốn điều lệ lên 12 tỷ đồng; Ngày 24/03/2009: Tăng vốn điều lệ lên 16 tỷ đồng; Ngày 15/03/2011: Tăng vốn điều lệ lên 22 tỷ đồng; Ngày 11/08/2015: Tăng vốn điều lệ lên 108 tỷ đồng; Ngày 10/10/2016: Tăng vốn điều lệ lên 129 tỷ đồng; Ngày 06/06/2017: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 15/06/2017: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 30/11/2018: Tăng vốn điều lệ lên 167,7 tỷ đồng; Ngày 29/07/2021: Đổi tên thành Công ty Cổ phần Đầu tư TDG Globle; Ngày 06/08/2021: Đổi tên thành Công ty Cổ phần Đầu tư TDG Global; Ngày 04/04/2023: Tăng vốn điều lệ lên 184,46 tỷ đồng; Ngày 14/12/2023: Tăng vốn điều lệ lên 193,69 tỷ đồng; Ngày 05/11/2024: Tăng vốn điều lệ lên 232,42 tỷ đồng;   "
